id;fee_id;subproduct_id;document_id;name;amount;category;tax;tax_amount;tax_category;status
;Account management fees;Private Demand Deposit Account (Avg Balance <1000€);;placeholder - abanca;5;;;;;
;Account management fees;Private Demand Deposit Account (Avg Balance <1000-2500€);;placeholder - abanca;3,33;;;;;
;Account management fees;Private Demand Deposit Account (Avg Balance >2500€);;placeholder - abanca;0;;;;;
;Account management fees;Bank Account with Direct Deposit Enabled;;placeholder - abanca;0;;;;;
;Account management fees;Standard Account (doesn't admit new hirings);;placeholder - abanca;0;;;;;
;Account management fees;Future Account;;placeholder - abanca;0;;;;;
;Account management fees;Kids Account;;placeholder - abanca;0;;;;;
;Account management fees;Global Account;;placeholder - abanca;6,88;;;;;
;Account management fees;Basic Account;;placeholder - abanca;10;;;;;
;Account management fees;Private Account;;placeholder - abanca;8;;;;;
;Account management fees;Value Account;;placeholder - abanca;5;;;;;
;Account management fees;Smart Account;;placeholder - abanca;5;;;;;
;Account management fees;Minimal Bank Services Account;;placeholder - abanca;1;;;;;
;Account management fees;ABANCA International Account;;placeholder - abanca;0;;;;;
;Monthly statement fee;Private Demand Deposit Account (Avg Balance <1000€);;placeholder - abanca;0;;;;;
;Monthly statement fee;Private Demand Deposit Account (Avg Balance <1000-2500€);;placeholder - abanca;0;;;;;
;Monthly statement fee;Private Demand Deposit Account (Avg Balance >2500€);;placeholder - abanca;0;;;;;
;Monthly statement fee;Bank Account with Direct Deposit Enabled;;placeholder - abanca;0;;;;;
;Monthly statement fee;Standard Account (doesn't admit new hirings);;placeholder - abanca;0;;;;;
;Monthly statement fee;Future Account;;placeholder - abanca;0;;;;;
;Monthly statement fee;Kids Account;;placeholder - abanca;0;;;;;
;Monthly statement fee;Global Account;;placeholder - abanca;0;;;;;
;Monthly statement fee;Basic Account;;placeholder - abanca;0;;;;;
;Monthly statement fee;Private Account;;placeholder - abanca;0;;;;;
;Monthly statement fee;Value Account;;placeholder - abanca;0;;;;;
;Monthly statement fee;Smart Account;;placeholder - abanca;0;;;;;
;Monthly statement fee;Minimal Bank Services Account;;placeholder - abanca;0;;;;;
;Monthly statement fee;ABANCA International Account;;placeholder - abanca;0;;;;;
;Other requests besides monthly statement;Private Demand Deposit Account (Avg Balance <1000€);;placeholder - abanca;2;;;;;
;Other requests besides monthly statement;Private Demand Deposit Account (Avg Balance <1000-2500€);;placeholder - abanca;2;;;;;
;Other requests besides monthly statement;Private Demand Deposit Account (Avg Balance >2500€);;placeholder - abanca;2;;;;;
;Other requests besides monthly statement;Bank Account with Direct Deposit Enabled;;placeholder - abanca;2;;;;;
;Other requests besides monthly statement;Standard Account (doesn't admit new hirings);;placeholder - abanca;2;;;;;
;Other requests besides monthly statement;Future Account;;placeholder - abanca;2;;;;;
;Other requests besides monthly statement;Kids Account;;placeholder - abanca;2;;;;;
;Other requests besides monthly statement;Global Account;;placeholder - abanca;2;;;;;
;Other requests besides monthly statement;Basic Account;;placeholder - abanca;2;;;;;
;Other requests besides monthly statement;Private Account;;placeholder - abanca;2;;;;;
;Other requests besides monthly statement;Value Account;;placeholder - abanca;2;;;;;
;Other requests besides monthly statement;Smart Account;;placeholder - abanca;2;;;;;
;Other requests besides monthly statement;Minimal Bank Services Account;;placeholder - abanca;2;;;;;
;Other requests besides monthly statement;ABANCA International Account;;placeholder - abanca;2;;;;;
;Statement replacement;Private Demand Deposit Account (Avg Balance <1000€);;placeholder - abanca;7,50 ;;;;;
;Statement replacement;Private Demand Deposit Account (Avg Balance <1000-2500€);;placeholder - abanca;7,50 ;;;;;
;Statement replacement;Private Demand Deposit Account (Avg Balance >2500€);;placeholder - abanca;7,50 ;;;;;
;Statement replacement;Bank Account with Direct Deposit Enabled;;placeholder - abanca;7,50 ;;;;;
;Statement replacement;Standard Account (doesn't admit new hirings);;placeholder - abanca;7,50 ;;;;;
;Statement replacement;Future Account;;placeholder - abanca;7,50 ;;;;;
;Statement replacement;Kids Account;;placeholder - abanca;7,50 ;;;;;
;Statement replacement;Global Account;;placeholder - abanca;7,50 ;;;;;
;Statement replacement;Basic Account;;placeholder - abanca;7,50 ;;;;;
;Statement replacement;Private Account;;placeholder - abanca;7,50 ;;;;;
;Statement replacement;Value Account;;placeholder - abanca;7,50 ;;;;;
;Statement replacement;Smart Account;;placeholder - abanca;7,50 ;;;;;
;Statement replacement;Minimal Bank Services Account;;placeholder - abanca;7,50 ;;;;;
;Statement replacement;ABANCA International Account;;placeholder - abanca;7,50 ;;;;;
;Additional copy of deposit receipt;Private Demand Deposit Account (Avg Balance <1000€);;placeholder - abanca;5;;;;;
;Additional copy of deposit receipt;Private Demand Deposit Account (Avg Balance <1000-2500€);;placeholder - abanca;5;;;;;
;Additional copy of deposit receipt;Private Demand Deposit Account (Avg Balance >2500€);;placeholder - abanca;5;;;;;
;Additional copy of deposit receipt;Bank Account with Direct Deposit Enabled;;placeholder - abanca;5;;;;;
;Additional copy of deposit receipt;Standard Account (doesn't admit new hirings);;placeholder - abanca;5;;;;;
;Additional copy of deposit receipt;Future Account;;placeholder - abanca;5;;;;;
;Additional copy of deposit receipt;Kids Account;;placeholder - abanca;5;;;;;
;Additional copy of deposit receipt;Global Account;;placeholder - abanca;5;;;;;
;Additional copy of deposit receipt;Basic Account;;placeholder - abanca;5;;;;;
;Additional copy of deposit receipt;Private Account;;placeholder - abanca;5;;;;;
;Additional copy of deposit receipt;Value Account;;placeholder - abanca;5;;;;;
;Additional copy of deposit receipt;Smart Account;;placeholder - abanca;5;;;;;
;Additional copy of deposit receipt;Minimal Bank Services Account;;placeholder - abanca;5;;;;;
;Additional copy of deposit receipt;ABANCA International Account;;placeholder - abanca;5;;;;;
;Depositing a check to receive cash;Private Demand Deposit Account (Avg Balance <1000€);;placeholder - abanca;0;;;;;
;Depositing a check to receive cash;Private Demand Deposit Account (Avg Balance <1000-2500€);;placeholder - abanca;0;;;;;
;Depositing a check to receive cash;Private Demand Deposit Account (Avg Balance >2500€);;placeholder - abanca;0;;;;;
;Depositing a check to receive cash;Bank Account with Direct Deposit Enabled;;placeholder - abanca;0;;;;;
