id;product_id;bank_id;name;search_name
Demand Deposits;abanca;Private Demand Deposit Account (Avg Balance <1000€);3.1 Conta D.O. Particulares (Nota 2)
Demand Deposits;abanca;Private Demand Deposit Account (Avg Balance <1000-2500€);3.1 Conta D.O. Particulares (Nota 2)
Demand Deposits;abanca;Private Demand Deposit Account (Avg Balance >2500€);3.1 Conta D.O. Particulares (Nota 2)
Demand Deposits;abanca;Bank Account with Direct Deposit Enabled;3.2 Conta Ordenado
Demand Deposits;abanca;Standard Account (doesn't admit new hirings);3.3 Conta Standard (não admite novas contratações)
Demand Deposits;abanca;Future Account;3.4 Conta Future (Nota 3)
Demand Deposits;abanca;Kids Account;3.5 Conta Kids (Nota 4)
Demand Deposits;abanca;Global Account;3.6 Conta Global (Nota 5)
Demand Deposits;abanca;Basic Account;3.7 Conta Base (Nota 6)
Demand Deposits;abanca;Private Account;3.8 Conta Private (Nota 7)
Demand Deposits;abanca;Value Account;3.9 Conta Value (Nota 8)
Demand Deposits;abanca;Smart Account;3.10 Conta Smart (Nota 9)
Demand Deposits;abanca;Minimal Bank Services Account;3.12 Conta Serviços Mínimos Bancários (Nota 11)
Demand Deposits;abanca;ABANCA International Account;3.14 Conta ABANCA Internacional (Nota 17)
Demand Deposits;banco ctt;Bank Account CTT;Conta Banco CTT
Demand Deposits;banco ctt;Junior Account;Conta Júnior (Montante Mínimo de Abertura 25,00€)
Demand Deposits;banco ctt;Base Account;Conta Base
Demand Deposits;banco ctt;Bank Account with Minimum Services;Conta de Serviços Mínimos Bancários
Demand Deposits;banco bai;Demand Deposits Account;Conta Depósito à Ordem (EUR/ Moeda Estrangeira)
Demand Deposits;banco bai;Minimum Banking Services Account;Conta de Serviços Mínimos Bancários
Demand Deposits;bankinter;Conta Mais Ordenado;Conta Mais Ordenado
Demand Deposits;bankinter;Conta Bankinter (idade igual ou superior a 18 anos).;Conta Bankinter (idade igual ou superior a 18 anos).
Demand Deposits;bankinter;Conta Bankinter em Moeda Estrangeira;Conta Bankinter em Moeda Estrangeira.- Conta B Portugal em Moeda Estrangeira (Clientes Portugueses Não Residentes) - Contas encerradas à comercialização a partir de 15 de Novembro de 2013 inclusivé.
Demand Deposits;bankinter;Conta B Dynamic ;Conta B Dynamic (idades entre 18 e 54 anos), Conta B Relax (idade igual ou superior a 55 anos), Conta Premier (Clientes Segmento Premier), Conta B Portugal (Clientes Portugueses Não Residentes) - Contas encerradas à comercialização a partir de 15 de Novembro de 2013 inclusivé.
Demand Deposits;bankinter;Conta Internacional;Conta Internacional (Clientes Estrangeiros Não Residentes em Portugal) - encerrada à comercialização. 
Demand Deposits;bankinter;Conta BK Mini;Conta BK Mini (Antiga Conta B Teen), Conta Mediador de Seguros e Conta Private (Clientes Segmento Private); Conta Pessoal (Clientes Crédito ao Consumo via internet- descontinuada); Conta B Kid (idades entre 0 e 13 anos), Conta B U (Estudantes Universitários).
Demand Deposits;bankinter;Conta B Prime;Conta B Prime (Conta Ordenado para Clientes Barclaycard - descontinuada); Conta B Dynamic + (Conta Ordenado para Clientes com idades entre 18 e 54 anos), Conta B Relax + (Conta Ordenado para Clientes com idade igual ou superior a 55 anos), Conta Premier + (Conta Ordenado para Clientes Segmento Premier), Conta B Prime Plus (Conta Ordenado para Clientes Barclaycard e para Clientes captados no âmbito da Parceria entre: Plurimarketing – Telemarketing e Marketing Directo, SA., Connecta – Avanzia – Call Center, LDA., AXA Portugal, Companhia de Seguros, SA. e o Bankinter) - Contas descontinuadas.
Demand Deposits;bankinter;Conta Serviços Mínimos Bancários - Basic Services Account;Conta Serviços Mínimos Bancários Basic Services Account
